"Tabela 9605 - População residente, por cor ou raça, nos Censos Demográficos"
"Variável - População residente"
"Nível","Cód.","Município","Ano x Cor ou raça"
"Nível","Cód.","Município","2022"
"Nível","Cód.","Município","Branca",,"Preta",,"Amarela",,"Parda",,"Indígena"
"MU","1400704","Uiramutã (RR)","136","Pessoas","51","Pessoas","3","Pessoas","573","Pessoas","12988","Pessoas"
"MU","1500107","Abaetetuba (PA)","29624","Pessoas","15895","Pessoas","107","Pessoas","112187","Pessoas","83","Pessoas"
"MU","1500131","Abel Figueiredo (PA)","1228","Pessoas","640","Pessoas","-","Pessoas","4258","Pessoas","10","Pessoas"
"MU","1500206","Acará (PA)","5684","Pessoas","8503","Pessoas","65","Pessoas","44748","Pessoas","23","Pessoas"
"MU","1500305","Afuá (PA)","5470","Pessoas","2567","Pessoas","24","Pessoas","29690","Pessoas","12","Pessoas"
"MU","1500347","Água Azul do Norte (PA)","4451","Pessoas","1829","Pessoas","13","Pessoas","11609","Pessoas","176","Pessoas"
"MU","1500404","Alenquer (PA)","10431","Pessoas","5405","Pessoas","41","Pessoas","53463","Pessoas","36","Pessoas"
"MU","1500503","Almeirim (PA)","5102","Pessoas","2583","Pessoas","12","Pessoas","25498","Pessoas","1085","Pessoas"
"MU","1500602","Altamira (PA)","29118","Pessoas","12939","Pessoas","329","Pessoas","77948","Pessoas","5944","Pessoas"
"MU","1500701","Anajás (PA)","3900","Pessoas","1610","Pessoas","8","Pessoas","22488","Pessoas","5","Pessoas"
"MU","1500800","Ananindeua (PA)","112106","Pessoas","53576","Pessoas","949","Pessoas","311624","Pessoas","508","Pessoas"
"MU","1500859","Anapu (PA)","6182","Pessoas","3497","Pessoas","215","Pessoas","21015","Pessoas","941","Pessoas"
"MU","1500909","Augusto Corrêa (PA)","5022","Pessoas","1430","Pessoas","8","Pessoas","38105","Pessoas","8","Pessoas"
"MU","1500958","Aurora do Pará (PA)","3005","Pessoas","2617","Pessoas","18","Pessoas","18085","Pessoas","49","Pessoas"
"MU","1501006","Aveiro (PA)","1720","Pessoas","1004","Pessoas","18","Pessoas","12581","Pessoas","2967","Pessoas"
"MU","1501105","Bagre (PA)","3185","Pessoas","2974","Pessoas","6","Pessoas","25726","Pessoas","1","Pessoas"
"MU","1501204","Baião (PA)","5955","Pessoas","11813","Pessoas","12","Pessoas","33810","Pessoas","51","Pessoas"
"MU","1501253","Bannach (PA)","726","Pessoas","414","Pessoas","8","Pessoas","2667","Pessoas","216","Pessoas"
"MU","1501303","Barcarena (PA)","22494","Pessoas","10492","Pessoas","234","Pessoas","93144","Pessoas","284","Pessoas"
"MU","1501402","Belém (PA)","342476","Pessoas","149395","Pessoas","3298","Pessoas","806103","Pessoas","2069","Pessoas"
"MU","1501451","Belterra (PA)","2394","Pessoas","937","Pessoas","52","Pessoas","14012","Pessoas","704","Pessoas"
"MU","1501501","Benevides (PA)","12040","Pessoas","6258","Pessoas","119","Pessoas","45082","Pessoas","68","Pessoas"
"MU","1501576","Bom Jesus do Tocantins (PA)","3963","Pessoas","1314","Pessoas","18","Pessoas","11633","Pessoas","1077","Pessoas"
"MU","1501600","Bonito (PA)","2075","Pessoas","680","Pessoas","9","Pessoas","9856","Pessoas","2","Pessoas"
"MU","1501709","Bragança (PA)","16431","Pessoas","5413","Pessoas","57","Pessoas","101085","Pessoas","94","Pessoas"
"MU","1501725","Brasil Novo (PA)","5996","Pessoas","2850","Pessoas","21","Pessoas","15457","Pessoas","393","Pessoas"
"MU","1501758","Brejo Grande do Araguaia (PA)","1140","Pessoas","782","Pessoas","5","Pessoas","4774","Pessoas","82","Pessoas"
"MU","1501782","Breu Branco (PA)","7787","Pessoas","5254","Pessoas","49","Pessoas","32526","Pessoas","96","Pessoas"
"MU","1501808","Breves (PA)","15892","Pessoas","7566","Pessoas","118","Pessoas","83288","Pessoas","104","Pessoas"
"MU","1501907","Bujaru (PA)","2546","Pessoas","3060","Pessoas","19","Pessoas","18732","Pessoas","26","Pessoas"
"MU","1501956","Cachoeira do Piriá (PA)","2712","Pessoas","2470","Pessoas","5","Pessoas","14412","Pessoas","31","Pessoas"
"MU","1502004","Cachoeira do Arari (PA)","2124","Pessoas","3508","Pessoas","14","Pessoas","18319","Pessoas","16","Pessoas"
"MU","1502103","Cametá (PA)","23161","Pessoas","10565","Pessoas","55","Pessoas","100277","Pessoas","125","Pessoas"
"MU","1502152","Canaã dos Carajás (PA)","16694","Pessoas","7515","Pessoas","204","Pessoas","52546","Pessoas","120","Pessoas"
"MU","1502202","Capanema (PA)","16489","Pessoas","3796","Pessoas","149","Pessoas","49858","Pessoas","102","Pessoas"
"MU","1502301","Capitão Poço (PA)","8253","Pessoas","3059","Pessoas","43","Pessoas","45081","Pessoas","69","Pessoas"
"MU","1502400","Castanhal (PA)","42881","Pessoas","16429","Pessoas","719","Pessoas","132079","Pessoas","144","Pessoas"
"MU","1502509","Chaves (PA)","2620","Pessoas","2692","Pessoas","40","Pessoas","15381","Pessoas","24","Pessoas"
"MU","1502608","Colares (PA)","2165","Pessoas","834","Pessoas","2","Pessoas","9855","Pessoas","12","Pessoas"
"MU","1502707","Conceição do Araguaia (PA)","9601","Pessoas","5992","Pessoas","142","Pessoas","28776","Pessoas","102","Pessoas"
"MU","1502756","Concórdia do Pará (PA)","3659","Pessoas","4594","Pessoas","52","Pessoas","18543","Pessoas","33","Pessoas"
"MU","1502764","Cumaru do Norte (PA)","2273","Pessoas","1502","Pessoas","12","Pessoas","7246","Pessoas","2446","Pessoas"
"MU","1502772","Curionópolis (PA)","4019","Pessoas","2192","Pessoas","15","Pessoas","13693","Pessoas","31","Pessoas"
"MU","1502806","Curralinho (PA)","4925","Pessoas","2117","Pessoas","13","Pessoas","26835","Pessoas","13","Pessoas"
"MU","1502855","Curuá (PA)","1741","Pessoas","813","Pessoas","1","Pessoas","11552","Pessoas","10","Pessoas"
"MU","1502905","Curuçá (PA)","7190","Pessoas","2159","Pessoas","33","Pessoas","31857","Pessoas","23","Pessoas"
"MU","1502939","Dom Eliseu (PA)","13176","Pessoas","6145","Pessoas","82","Pessoas","39034","Pessoas","47","Pessoas"
"MU","1502954","Eldorado do Carajás (PA)","5526","Pessoas","3409","Pessoas","22","Pessoas","19198","Pessoas","37","Pessoas"
"MU","1503002","Faro (PA)","1129","Pessoas","201","Pessoas","1","Pessoas","7314","Pessoas","83","Pessoas"
"MU","1503044","Floresta do Araguaia (PA)","3816","Pessoas","1896","Pessoas","23","Pessoas","12134","Pessoas","29","Pessoas"
"MU","1503077","Garrafão do Norte (PA)","3324","Pessoas","1523","Pessoas","29","Pessoas","19819","Pessoas","8","Pessoas"
"MU","1503093","Goianésia do Pará (PA)","5095","Pessoas","2860","Pessoas","15","Pessoas","18279","Pessoas","112","Pessoas"
