"Tabela 4712 - Domicílios particulares permanentes ocupados, Moradores em domicílios particulares permanentes ocupados e Média de moradores em domicílios particulares permanentes ocupados"
"Variável - Domicílios particulares permanentes ocupados"
"Nível","Cód.","Município","Ano"
"Nível","Cód.","Município","2022"
"MU","1709005","Goiatins (TO)","3696","Domicílios"
"MU","1709302","Guaraí (TO)","8831","Domicílios"
"MU","1709500","Gurupi (TO)","30592","Domicílios"
"MU","1709807","Ipueiras (TO)","563","Domicílios"
"MU","1710508","Itacajá (TO)","2161","Domicílios"
"MU","1710706","Itaguatins (TO)","1742","Domicílios"
"MU","1710904","Itapiratins (TO)","1274","Domicílios"
"MU","1711100","Itaporã do Tocantins (TO)","822","Domicílios"
"MU","1711506","Jaú do Tocantins (TO)","1237","Domicílios"
"MU","1711803","Juarina (TO)","737","Domicílios"
"MU","1711902","Lagoa da Confusão (TO)","4800","Domicílios"
"MU","1711951","Lagoa do Tocantins (TO)","1068","Domicílios"
"MU","1712009","Lajeado (TO)","1164","Domicílios"
"MU","1712157","Lavandeira (TO)","586","Domicílios"
"MU","1712405","Lizarda (TO)","987","Domicílios"
"MU","1712454","Luzinópolis (TO)","870","Domicílios"
"MU","1712504","Marianópolis do Tocantins (TO)","1594","Domicílios"
"MU","1712702","Mateiros (TO)","811","Domicílios"
"MU","1712801","Maurilândia do Tocantins (TO)","998","Domicílios"
"MU","1713205","Miracema do Tocantins (TO)","6365","Domicílios"
"MU","1713304","Miranorte (TO)","4398","Domicílios"
"MU","1713601","Monte do Carmo (TO)","1929","Domicílios"
"MU","1713700","Monte Santo do Tocantins (TO)","882","Domicílios"
"MU","1713809","Palmeiras do Tocantins (TO)","1553","Domicílios"
"MU","1713957","Muricilândia (TO)","1178","Domicílios"
"MU","1714203","Natividade (TO)","3061","Domicílios"
"MU","1714302","Nazaré (TO)","1531","Domicílios"
"MU","1714880","Nova Olinda (TO)","3517","Domicílios"
"MU","1715002","Nova Rosalândia (TO)","1167","Domicílios"
"MU","1715101","Novo Acordo (TO)","1330","Domicílios"
"MU","1715150","Novo Alegre (TO)","718","Domicílios"
"MU","1715259","Novo Jardim (TO)","704","Domicílios"
"MU","1715507","Oliveira de Fátima (TO)","398","Domicílios"
"MU","1715705","Palmeirante (TO)","1663","Domicílios"
"MU","1715754","Palmeirópolis (TO)","2528","Domicílios"
"MU","1716109","Paraíso do Tocantins (TO)","18289","Domicílios"
"MU","1716208","Paranã (TO)","3670","Domicílios"
"MU","1716307","Pau D'Arco (TO)","1372","Domicílios"
"MU","1716505","Pedro Afonso (TO)","4739","Domicílios"
"MU","1716604","Peixe (TO)","3418","Domicílios"
"MU","1716653","Pequizeiro (TO)","1706","Domicílios"
"MU","1716703","Colméia (TO)","3209","Domicílios"
"MU","1717008","Pindorama do Tocantins (TO)","1490","Domicílios"
"MU","1717206","Piraquê (TO)","793","Domicílios"
"MU","1717503","Pium (TO)","2374","Domicílios"
"MU","1717800","Ponte Alta do Bom Jesus (TO)","1580","Domicílios"
"MU","1717909","Ponte Alta do Tocantins (TO)","2498","Domicílios"
"MU","1718006","Porto Alegre do Tocantins (TO)","922","Domicílios"
"MU","1718204","Porto Nacional (TO)","21365","Domicílios"
"MU","1718303","Praia Norte (TO)","2454","Domicílios"
"MU","1718402","Presidente Kennedy (TO)","1066","Domicílios"
"MU","1718451","Pugmil (TO)","785","Domicílios"
"MU","1718501","Recursolândia (TO)","1043","Domicílios"
"MU","1718550","Riachinho (TO)","1259","Domicílios"
"MU","1718659","Rio da Conceição (TO)","568","Domicílios"
"MU","1718709","Rio dos Bois (TO)","961","Domicílios"
"MU","1718758","Rio Sono (TO)","1664","Domicílios"
"MU","1718808","Sampaio (TO)","1254","Domicílios"
"MU","1718840","Sandolândia (TO)","1311","Domicílios"
"MU","1718865","Santa Fé do Araguaia (TO)","2362","Domicílios"
"MU","1718881","Santa Maria do Tocantins (TO)","922","Domicílios"
"MU","1718899","Santa Rita do Tocantins (TO)","780","Domicílios"
"MU","1718907","Santa Rosa do Tocantins (TO)","1566","Domicílios"
"MU","1719004","Santa Tereza do Tocantins (TO)","853","Domicílios"
"MU","1720002","Santa Terezinha do Tocantins (TO)","791","Domicílios"
"MU","1720101","São Bento do Tocantins (TO)","1705","Domicílios"
"MU","1720150","São Félix do Tocantins (TO)","551","Domicílios"
"MU","1720200","São Miguel do Tocantins (TO)","4058","Domicílios"
"MU","1720259","São Salvador do Tocantins (TO)","858","Domicílios"
"MU","1720309","São Sebastião do Tocantins (TO)","1235","Domicílios"
"MU","1720499","São Valério (TO)","1695","Domicílios"
"MU","1720655","Silvanópolis (TO)","1728","Domicílios"
"MU","1720804","Sítio Novo do Tocantins (TO)","3260","Domicílios"
"MU","1720853","Sucupira (TO)","591","Domicílios"
